Nombre,Símbolo,Precio,Market Cap,Volumen (24h)
LSD,$LSD,0.001637,1.641637222,190660116.45
SafeCoin,SAFE,0.05901,1.641636709,9149.92
Penpie,PNP,1.08,1.641636389,1896017.44
Stratos,STOS,0.04212,1.631634349,1299343.08
Wells Fargo Tokenized Stock (Ondo),WFCon,89.44,1.3413421,4054.52
Privasea AI,PRAI,0.004627,1.341341388,3874197837.25
Palo Alto Networks Tokenized Stock (Ondo),PANWon,184.08,1.341336202,1147662.33
Sensay,SNSY,0.0002566,1.341336006,3335391.29
BASE,BASE,0.051435,1.331334263,35632.48
Cat Own Kimono,COK,0.05133,1.33132832,30543992.29
KIRA,KEX,0.006468,1.331329675,0.0
Fusion,FSN,0.01697,1.331328171,5522325.25
Marvell Technology Tokenized Stock (Ondo),MRVLon,83.2,1.321319238,167468020.12
KOMPETE,KOMPETE,0.001756,1.321318822,449255.91
Nike Tokenized Stock (Ondo),NKEon,63.61,1.321318269,238735237.52
WINR Protocol,WINR,0.001837,1.311309413,58623.19
Matchain,MAT,0.1056,1.31304366,111469510.55
Pandora,PANDORA,130.24,1.31302415,139410.7
San Chan,SAN,0.001382,1.3130207,182971132.36
Palantir Technologies Tokenized Stock (Ondo),PLTRon,166.25,1.061059301,616458537.07
NuriTopia,NBLU,0.0004291,1.051051501,59494138.63
JD.com Tokenized Stock (Ondo),JDon,29.32,1.04104291,185399063.22
Tanssi,TANSSI,0.003051,1.041042516,40474601.32
Cakepie,CKP,0.5906,1.041040555,2091735.41
Flamengo Fan Token,MENGO,0.06792,1.041039054,1185101.74
yesnoerror,YNE,0.001038,1.041038005,480496462.9
Emorya Finance,EMR,0.001239,1.041037883,380100306.75
ServiceNow Tokenized Stock (Ondo),NOWon,661.39,1.041035714,34488905.21
YooShi,YOOSHI,0.082848,1.031034602,682239.46
Decubate,DCB,0.002721,1.031034351,9777135.92
GOUT,GOUT,0.059279,1.031033305,7500808.24
VICE Token,VICE,0.001033,1.031031039,1174411.36
META FINANCIAL AI,MEFAI,0.001782,1.031030655,267640150.14
v.systems,VSYS,0.0002856,1.031029518,3944151.38
Non-Playable Coin Solana,NPCS,0.0008977,870589.6687059,3591840.0
Smoking Chicken Fish,SCF,0.0008697,869721.96869722,300618345.61
FACTOR,FACT,0.7621,867092.55867093,1409818.49
Vector Smart Gas,VSG,8.663e-05,866305.42866305,1491111.72
The Root Network,ROOT,0.0002234,865179.37865179,208392932.78
Witch Token,WITCH,0.03162,863419.986342,328081.03
Shark Cat,SC,0.0008707,861973.94861974,362326416.09
Super Micro Computer Tokenized Stock (Ondo),SMCIon,30.9,861230.1286123,204719666.23
Bostrom,BOOT,0.081454,860402.8860403,0.0
AmonD,AMON,0.0001198,860001.82860002,4753.96
Retard Finder Coin,RFC,0.0008895,855310.58855311,446328501.76
GameGPT,DUEL,0.0001017,853569.26853569,33083325.21
BIG,BIG,0.0008488,848800.9848801,5226761.57
MercadoLibre Tokenized Stock (Ondo),MELIon,2286.1,845650.1884565,19070.8341
Eternal AI,EAI,0.003044,842674.62842675,0.0
BarnBridge,BOND,0.09011,712813.83712814,2549372.82
Bridge AI,BRG,8.895e-05,711809.8271181,543861.13
Sipher,SIPHER,0.007913,710187.61710188,6800859.31
Hims & Hers Health Tokenized Stock (Ondo),HIMSon,29.11,708784.94708785,5736423197.02
Snowflake Tokenized Stock (Ondo),SNOWon,211.82,708686.41708686,303217114.31
MongCoin,$MONG,0.081214,705572.28705572,6572854.14
TRVL (Dtravel),TRVL,0.001692,705029.7970503,180133106.45
Plearn,PLN,0.008168,703037.98703038,8272710.12
Venus DOT,vDOT,0.04216,701940.2470194,0.0
Sekuya Multiverse,SKYA,0.001738,700798.03700798,7118340.95
McDonald's tokenized stock (xStock),MCDX,316.26,699594.77699595,366264811.58
Vertus,VERT,0.001325,699048.79699049,275824208.01
XELS,XELS,0.03297,692375.15692375,657741.99
Procter & Gamble tokenized stock (xStock),PGX,151.74,690418.65690419,3151072.07
Home Depot tokenized stock (xStock),HDX,381.98,572974.36572974,1155430.24
Spotify Tokenized Stock (Ondo),SPOTon,512.75,572671.66572672,25346804.94
BOSagora,BOA,0.0009972,570217.6570218,35329593.54
REVV,REVV,0.0004772,568227.81568228,678214.21
Gari Network,GARI,0.00101,567601.85567602,8385382.95
Linde tokenized stock (xStock),LINX,455.77,567433.65567434,50.01097
GoChain,GO,0.0004231,567115.54567116,160378.81
DOYR,DOYR,0.0005652,565251.66565252,12827882.26
Whales Market,WHALES,0.0217,565155.38565155,3489160.73
Deeper Network,DPR,0.0001717,564834.95564835,35728207.98
DeFinder Capital,DFC,0.02121,563667.53563668,0.0
Algorix,ALOR,0.04499,561455.19561455,11239.69
Ta-da,TADA,0.0008069,560789.42560789,8034799.57
Scamcoin,SCAM,0.0005582,558265.76558266,164466294.58
Rage Guy,RAGE,0.0005672,558240.2655824,1301722.94
Gains,GAINS,0.01172,453664.95453665,9778834.02
MattleFun,MATTLE,0.02592,453631.63453632,21370824.38
Alt.town,TOWN,0.0006334,452915.48452915,384196606.51
ApeBond,ABOND,0.0008123,450687.1450687,83400102.67
Marie Rose,MARIE,0.001067,449132.82449133,43.51
Bloktopia,BLOK,1.808e-05,448478.02448478,671873.71
Orbofi AI,OBI,0.0003126,448270.3344827,1963962.82
Redacted,RDAC,0.002043,447691.65447692,1998973978.43
Dasha,VVAIFU,0.0004473,444372.01444372,207671464.18
TERMINUS,TERMINUS,0.004421,442119.41442119,23407952.94
NULS,NULS,0.003857,440637.85440638,266.64
BizAuto,BIZA,0.0001642,439783.08439783,149909.75
Monsta Infinite,MONI,0.001988,438658.76438659,6498432.67
Astherus,ASTHERUS,0.0004473,437994.48437994,127638285.31
Honeyland,HXD,0.001091,437176.95437177,1973418.07
Agent Virtual Machine,AVM,0.006933,367769.45367769,0.0
Ferro,FER,0.0003941,367572.88367573,106155269.31
Coral Finance,CORL,0.001575,366164.63366165,673192427.19
CBPAY Global,CBPAY,9.918e-05,365070.0436507,0.0
LightLink,LL,0.004425,361404.66361405,25845658.4
JulSwap,JULD,0.0006091,360721.4360721,889314.59
Prism,PRISM,0.0006246,360515.5360515,1167918.69
